continent	location	iso_code	date	total_deaths_per_million	excess_mortality_cumulative_per_million
Europe	Albania	ALB	2021-12-31	1119.761	5101.05696824222
Asia	Armenia	ARM	2022-01-31	2713.158	6816.08070810962
North America	Aruba	ABW	2021-03-31	802.276	1129.71687112272
Oceania	Australia	AUS	2021-03-28	35.249	-432.965179407324
Europe	Austria	AUT	2022-01-30	1558.209	1653.68582711716
Asia	Azerbaijan	AZE	2022-01-31	854.319	3965.62025106462
North America	Barbados	BRB	2021-03-31	145.981	-510.934697679592
Europe	Belarus	BLR	2021-03-31	237.957	3306.45343199264
Europe	Belgium	BEL	2022-01-30	2489.354	1753.70652183818
South America	Bolivia	BOL	2022-01-31	1770.566	4846.85288587718
Europe	Bosnia and Herzegovi	BIH	2021-03-31	2022.088	2533.04852305483
South America	Brazil	BRA	2022-01-31	2932.749	3464.09963097888
Europe	Bulgaria	BGR	2022-01-30	4808.128	8837.71915515565
North America	Canada	CAN	2021-03-28	616.188	306.391894927363
South America	Chile	CHL	2022-01-30	2065.545	2125.39717917037
South America	Colombia	COL	2022-01-30	2615.367	3356.228955651
Europe	Croatia	HRV	2022-01-02	3089.187	4084.64013512159
Europe	Cyprus	CYP	2021-12-19	691.96	842.740832919459
Europe	Czechia	CZE	2022-01-30	3467.184	3864.01186138014
Europe	Denmark	DNK	2022-01-30	643.008	211.893343920546
South America	Ecuador	ECU	2022-01-30	1929.399	3894.16671315843
Africa	Egypt	EGY	2021-03-31	115.051	1341.54943806071
Europe	Estonia	EST	2022-01-30	1536.386	2465.23512135637
Europe	Faeroe Islands	FRO	2022-01-31	366.95	-1465.76152325036
Europe	Finland	FIN	2022-01-30	350.013	514.638467107674
Europe	France	FRA	2022-01-30	1937.795	1218.49544659013
Oceania	French Polynesia	PYF	2021-03-31	499.055	-184.402585175589
Asia	Georgia	GEO	2021-03-31	949.3	1494.93451008387
Europe	Germany	DEU	2022-01-30	1403.925	1047.89995755805
Europe	Greece	GRC	2022-01-30	2253.647	2513.80156125687
North America	Greenland	GRL	2021-12-31	17.585	-949.567419286769
North America	Guatemala	GTM	2021-03-28	372.715	811.496280411453
Asia	Hong Kong	HKG	2021-03-31	27.142	243.883063234827
Europe	Hungary	HUN	2022-01-30	4279.459	3720.52078841938
Europe	Iceland	ISL	2022-01-02	100.328	143.441289398902
Asia	Iran	IRN	2022-01-30	1557.402	2943.82512458138
Europe	Ireland	IRL	2021-12-31	1186.457	592.867131295325
Asia	Israel	ISR	2022-01-30	939.081	853.417285545151
Europe	Italy	ITA	2021-12-26	2262.99	2768.14478446513
Asia	Japan	JPN	2021-12-31	145.886	-104.302395678644
Asia	Kazakhstan	KAZ	2021-12-31	958.728	4247.7798582129
Europe	Kosovo	OWID_KOS	2021-12-31	1677.782	3377.11090473959
