continent	location	iso_code	date	total_deaths_per_million	excess_mortality_cumulative_per_million
Europe	Albania	ALB	2022-01-31	1172.098	5437.99545312834
North America	Antigua and Barbuda	ATG	2021-12-31	1276.55	-654.366015876421
Asia	Armenia	ARM	2022-01-31	2885.373	7230.09243368086
North America	Aruba	ABW	2021-12-31	1698.956	3305.92475782834
Oceania	Australia	AUS	2022-01-30	145.056	122.031910001929
Europe	Austria	AUT	2022-01-30	1926.905	1678.68889795005
Asia	Azerbaijan	AZE	2022-01-31	846.893	3931.14820606862
North America	Barbados	BRB	2021-03-31	149.36	-522.75960170697
Europe	Belarus	BLR	2021-03-31	234.596	3259.74654025697
Europe	Belgium	BEL	2022-01-30	2493.838	1770.81700601649
South America	Bolivia	BOL	2022-01-31	1734.43	4823.84494951435
Europe	Bosnia and Herzegovi	BIH	2022-01-31	4416.769	6037.37209728204
South America	Brazil	BRA	2022-01-31	2928.195	3390.69848676426
Europe	Bulgaria	BGR	2022-01-30	4815.66	8897.30967831506
North America	Canada	CAN	2022-01-30	903.499	536.262444367728
South America	Chile	CHL	2022-01-30	2035.789	2096.16345898135
South America	Colombia	COL	2022-01-30	2602.639	3354.68620751517
North America	Costa Rica	CRI	2021-12-31	1426.671	1153.83190042137
Europe	Croatia	HRV	2022-01-30	3393.237	4419.92692361215
North America	Cuba	CUB	2021-12-31	739.315	4765.79842954728
Europe	Cyprus	CYP	2022-01-30	815.842	-3286.24664762664
Europe	Czechia	CZE	2022-01-30	3537.711	3958.68991270842
Europe	Denmark	DNK	2022-01-30	638.512	213.315477329252
North America	Dominican Republic	DOM	2021-03-31	299.068	210.939609497283
South America	Ecuador	ECU	2022-01-30	1939.235	3944.24864239763
Africa	Egypt	EGY	2022-01-31	207.162	2634.93374624108
Europe	Estonia	EST	2022-01-30	1532.324	2488.82178910078
Europe	Faeroe Islands	FRO	2022-01-31	340.342	-1340.56874905461
Europe	Finland	FIN	2022-01-30	350.795	616.402624859285
Europe	France	FRA	2022-01-30	1937.795	1235.10723502714
Oceania	French Polynesia	PYF	2021-12-31	2091.885	1796.52141879802
Asia	Georgia	GEO	2021-12-31	3672.186	5456.17592429976
Europe	Germany	DEU	2022-01-30	1411.426	1065.45786658764
Europe	Greece	GRC	2022-01-30	2237.547	2497.85431145776
North America	Greenland	GRL	2022-01-31	88.9	-1033.01744217058
North America	Guatemala	GTM	2021-12-26	914.162	2448.43919831141
