location	total_cases_per_million	stringency_index_avg
Afghanistan	3968.427	36.60310638297866
Africa	7103.214	0
Albania	73173.975	54.92499999999993
Algeria	4895.753	62.53431818181818
Andorra	306900.742	48.202148997134636
Angola	2404.489	63.75445588235285
Anguilla	110677.686	0
Antigua and Barbuda	43381.817	0
Argentina	123984.343	68.28718050065814
Armenia	116211.295	0
Aruba	190876.44	46.34406113537102
Asia	18087.302	0
Australia	16499.628	59.614386920981076
Austria	141392.107	60.626392045454395
Azerbaijan	60346.888	68.60987124463526
Bahamas	61665.751	65.37707602339162
Bahrain	161335.473	53.700382978723596
Bangladesh	9534.009	72.16480631276946
Barbados	99284.691	56.35377745241518
Belarus	74035.777	31.49429386590568
Belgium	180990.591	54.379310344827566
Belize	81103.441	67.00927621861193
Benin	2002.645	42.62624269005843
Bermuda	103394.962	50.323289280469936
Bhutan	3410.694	65.14479827089323
Bolivia	50685.054	53.80494920174111
Bonaire Sint Eustati	128795.614	0
Bosnia and Herzegovi	89265.102	46.0304172661867
Botswana	91567.386	52.63077611940311
Brazil	104170.665	58.99815078236133
British Virgin Islan	114781.58	0
Brunei	35037.098	49.10011577424081
Bulgaria	108329.038	47.687528901734275
Burkina Faso	820.204	29.244840579709955
Burundi	2232.97	14.313587443946169
Cambodia	7110.222	50.525075034106685
Cameroon	4017.262	39.43351585014423
Canada	57338.578	64.84094005449603
Cape Verde	74269.311	61.08117647058767
Cayman Islands	132605.492	0
Central African Repu	2472.161	31.65518248175192
Chad	337.157	45.24301027900142
Chile	94027.689	68.04623229461734
China	70.844	71.41578590785932
Colombia	100601.88	66.21845821325695
Comoros	7332.946	0
Congo	3551.165	49.656321167883405
Cook Islands	113.817	0
Costa Rica	111023.568	58.43239193083566
Cote d'Ivoire	2624.565	31.348388969521135
Croatia	175233.98	45.635994318181815
Cuba	85354.908	67.67885174418618
Curacao	129402.413	0
Cyprus	186189.809	59.70187861271672
Czechia	230846.824	49.69655221745336
Democratic Republic 	809.641	45.163642960812616
Denmark	138027.751	48.89211829436039
Djibouti	13626.064	49.118489736070345
Dominica	94413.346	45.815398230088746
Dominican Republic	38231.599	66.11137339055772
Ecuador	30713.52	65.75457796852645
Egypt	3698.266	53.03158041958011
El Salvador	18707.525	51.13301027900099
Equatorial Guinea	9455.883	0
Eritrea	2224.374	74.01363770250393
Estonia	182168.87	38.674407713498695
Eswatini	56389.243	63.70237609329444
Ethiopia	3565.961	54.20384279475933
Europe	118335.543	0
European Union	125758.84	0
Faeroe Islands	117505.555	37.13366379310321
Falkland Islands	23526.077	0
Fiji	59067.515	61.51290410958876
Finland	48812.433	42.43815321477445
France	148586.826	60.41836956521727
French Polynesia	164164.313	0
Gabon	18341.876	66.74448979591821
Gambia	4089.368	46.31386530014619
Georgia	234872.944	60.12661450924628
Germany	85734.751	63.16995907230582
Ghana	4506.032	45.44970845481065
Gibraltar	258258.882	0
Greece	116756.585	68.94406515580661
Greenland	45913.343	40.20869883040944
Grenada	54691.855	0
Guatemala	34430.879	60.92771067415716
Guernsey		0
Guinea	2374.634	60.127889374090515
Guinea-Bissau	3217.084	0
Guyana	50071.552	64.22925872093002
Haiti	2251.405	51.02476470588241
High income	111166.51	0
Honduras	37702.696	79.5234542815671
Hong Kong	1674.743	60.874328358208686
Hungary	130412.484	50.30901004304155
Iceland	73371.982	40.70726495726513
India	25018.913	67.8019863013701
Indonesia	15424.419	63.72967048710592
International		0
Iran	72850.657	63.6567746478875
Iraq	50844.415	72.49490780141797
Ireland	158252.898	61.987385714285786
Isle of Man	159711.978	0
Israel	148954.042	59.91242595204565
Italy	101473.242	70.62168724279886
Jamaica	31586.077	70.74779390420885
Japan	13742.841	42.064525745257704
Jersey		0
Jordan	103554.652	58.52865136298429
Kazakhstan	56463.299	71.37275109170315
Kenya	5365.54	58.799337175792715
Kiribati	16.476	29.78039062500008
Kosovo	90613.681	57.91202623906636
Kuwait	96368.232	63.34622695035406
Kyrgyzstan	27863.508	56.653519061583545
Laos	15050.09	49.54267751479294
Latvia	148196.99	49.16362731152183
Lebanon	107536.381	65.80484463276832
Lesotho	13157.535	55.890607028753834
Liberia	1211.92	52.59928257686676
Libya	55864.321	66.63978448275833
Liechtenstein	160270.821	46.34158045977008
Lithuania	193168.646	47.9395999999999
Low income	2341.385	0
Lower middle income	19621.079	0
Luxembourg	163458.903	47.67080851063814
Macao	119.989	30.150054200541792
Madagascar	1768.685	50.28742647058833
Malawi	3821.062	47.1411475409836
Malaysia	84149.06	62.25922554347817
Maldives	176042.088	0
Mali	1007.301	46.35305185185194
Malta	101672.157	52.40381294963989
Marshall Islands	67.094	0
Mauritania	8685.245	42.866078717201276
Mauritius	53776.107	45.10661290322589
Mexico	30551.629	51.80071146245065
Micronesia (country)	8.602	0
Moldova	93477.302	54.49417630057807
