location	total_cases_per_million	stringency_index_avg
Afghanistan	3942.297	32.78339060710172
Africa	7006.757	0
Albania	73641.105	51.57444954128456
Algeria	4944.365	59.75934633027527
Andorra	300377.053	41.942956120092674
Angola	2364.756	60.15925707547177
Anguilla	106265.473	0
Antigua and Barbuda	45945.076	0
Argentina	124885.383	64.30607335490748
Armenia	123587.679	0
Aruba	192057.145	43.325532163742395
Asia	18097.656	0
Australia	16415.051	56.2289024390245
Austria	142434.356	58.26419724770637
Azerbaijan	59822.31	70.87125720876541
Bahamas	60004.021	59.86037558685416
Bahrain	192762.077	47.30233676975969
Bangladesh	9362.152	66.20473255814017
Barbados	101582.504	56.84242068155034
Belarus	72989.95	28.92329113924024
Belgium	181316.583	49.54917133258705
Belize	82093.638	64.3601301775148
Benin	1918.535	39.147253521126686
Bermuda	100023.37	47.42320376914008
Bhutan	3421.283	62.43353828306248
Bolivia	49650.597	49.052858809801315
Bonaire Sint Eustati	127536.883	0
Bosnia and Herzegovi	89060.861	43.65646581691743
Botswana	84804.145	45.39894988066839
Brazil	104008.92	61.94698048220474
British Virgin Islan	112203.586	0
Brunei	34734.93	47.72674039580915
Bulgaria	108498.74	42.7633255813957
Burkina Faso	797.803	26.040664335664133
Burundi	2180.347	14.561589008363143
Cambodia	7263.418	52.26439511653723
Cameroon	4021.048	36.90429234338761
Canada	58281.596	63.5646408839779
Cape Verde	70981.843	57.30305424528285
Cayman Islands	129417.635	0
Central African Repu	2228.817	29.150468933177102
Chad	331.961	42.81552414605412
Chile	92673.111	61.88020594965607
China	80.769	70.86746136865335
Colombia	100112.271	62.60725058004683
Comoros	7929.399	0
Congo	3442.369	48.73791324736208
Cook Islands	117.626	0
Costa Rica	110702.515	52.732633410672896
Cote d'Ivoire	2584.007	28.87451575262551
Croatia	176162.862	41.72806192660544
Cuba	85818.415	58.93835280373794
Curacao	112037.533	0
Cyprus	186189.394	57.60882558139561
Czechia	235542.564	47.05035755478637
Democratic Republic 	779.954	42.74780630105029
Denmark	137062.539	42.690860335195566
Djibouti	12352.145	48.6255647058825
Dominica	94100.425	44.78296690307383
Dominican Republic	37667.094	55.424071510957035
Ecuador	30870.104	65.74855824682783
Egypt	3528.897	51.61281993204904
El Salvador	19312.92	48.7303651354536
Equatorial Guinea	8388.061	0
Eritrea	2212.793	69.65621015348346
Estonia	181687.227	38.373914988814455
Eswatini	55447.964	58.21660421545684
Ethiopia	3494.608	50.38028070175373
Europe	118342.948	0
European Union	125578.024	0
Faeroe Islands	108985.025	32.75855324074059
Falkland Islands	22051.01	0
Fiji	57680.536	62.22898663697119
Finland	48921.494	39.461446051167734
France	148586.826	56.17068584070827
French Polynesia	152556.31	0
Gabon	17853.398	57.57940281030434
Gambia	3852.395	40.125099882490886
Georgia	248734.959	54.087944890930196
Germany	85727.682	55.58281908990021
Ghana	4354.944	46.8745550351286
Gibraltar	266329.966	0
Greece	115922.517	64.37498855835217
Greenland	46423.555	38.59056338028206
Grenada	49602.761	3.2373049645390086
Guam		56.948492159227584
Guatemala	35685.016	59.211090909090686
Guernsey		0
Guinea	2368.55	58.29341520467838
Guinea-Bissau	3146.472	0
Guyana	49185.462	63.916705607476
Haiti	2269.914	47.29377358490595
High income	108841.041	0
Honduras	36912.748	71.24407234539105
Hong Kong	1687.753	61.6611933701655
Hungary	129396.776	46.09565317919053
Iceland	73066.278	35.89966628308419
India	24767.316	65.90540089086895
Indonesia	15571.398	63.833764434180296
International		0
Iran	70452.22	63.77509111617322
Iraq	48094.814	67.63139747995373
Ireland	158137.95	52.07167050691231
Isle of Man	161886.0	0
Israel	148954.042	53.25500570125438
Italy	103403.931	66.65016722408055
Jamaica	33214.344	65.93477246207708
Japan	13901.459	42.413509933775295
Jersey		0
Jordan	95387.377	50.75041618497156
Kazakhstan	55870.599	64.19294736842119
Kenya	5565.976	59.2064037122965
Kiribati	15.519	39.853443396226346
Kosovo	90613.681	55.05659250585442
Kuwait	98146.779	60.637296678121274
Kyrgyzstan	28292.934	54.0866000000001
Laos	14957.459	52.938957345971524
Latvia	147644.589	45.38088404133163
Lebanon	130158.775	62.47372146118731
Lesotho	12451.708	51.32190176322445
Liberia	1208.838	51.52079905992993
Libya	57716.112	66.11333333333309
Liechtenstein	157048.08	41.959108796296384
Lithuania	188192.565	43.720400471142135
Low income	2218.707	0
Lower middle income	19520.219	0
Luxembourg	162306.572	44.55752577319578
Macao	115.059	32.240993377483264
Madagascar	1738.816	49.896202830188805
Malawi	3774.559	44.561680572109594
Malaysia	82149.769	61.95288716814135
Maldives	183523.889	0
Mali	959.051	46.657912218267896
Malta	99616.895	49.149606025492126
Marshall Islands	95.125	0
Mauritania	8986.616	43.20710772833696
Mauritius	52720.925	44.254623529411774
Mexico	31409.326	47.714304207119156
Micronesia (country)	8.839	0
Moldova	122866.001	50.320813953488255
Monaco	135882.898	49.892811059907366
Mongolia	206889.517	49.6931701631701
Montenegro	270815.581	0
Montserrat	10414.308	0
Morocco	25975.748	66.99882022471868
Mozambique	5894.553	51.53919621749402
Myanmar	9867.154	71.57482758620627
Namibia	58484.256	43.64637002341888
Nauru		0
Nepal	27582.198	60.3940642303435
Netherlands	180183.223	52.28658620689686
New Caledonia	44565.671	0
New Zealand	2752.193	43.38701956271576
Nicaragua	1979.844	10.545100117785559
Niger	293.236	24.698726415094164
Nigeria	1131.732	51.07066743383204
Niue		0
North America	109073.858	0
North Korea		0
North Macedonia	106996.525	0
Norway	72970.103	41.98173165137622
Oceania	13234.357	0
Oman	67579.02	61.62201603665489
Pakistan	5600.351	63.02162844036661
Palau	554.816	0
Palestine	91508.305	59.99132097334864
Panama	113971.402	63.03119906868446
Papua New Guinea	3634.175	51.84278301886768
Paraguay	69527.89	53.12250871080177
Peru	68123.946	71.39984918793488
Philippines	24973.4	65.62008908685992
Poland	107242.466	48.32587962962935
Portugal	135046.85	52.51292964244478
Puerto Rico		53.654511904761414
Qatar	93194.233	63.010541474654204
Romania	93586.434	49.78508610792188
Russia	71124.804	46.75672240802659
Rwanda	8303.887	67.22104215456615
Saint Helena	740.192	0
Saint Kitts and Nevi	62996.261	0
Saint Lucia	75534.923	0
Saint Pierre and Miq	16998.13	0
Saint Vincent and th	56071.004	0
Samoa	13.713	0
San Marino	243051.028	45.820403225806075
Sao Tome and Princip	17466.955	0
Saudi Arabia	15472.319	63.41147806004656
Senegal	4447.25	35.57980437284195
Serbia	189089.735	44.84183696900116
Seychelles	232816.756	55.644290738570106
Sierra Leone	838.891	46.97181600955853
Singapore	51233.13	50.747469613260094
Sint Maarten (Dutch 		0
Slovakia	251684.496	47.610034802784256
Slovenia	218951.501	49.635173184357335
Solomon Islands	33.905	41.790996884735144
Somalia	1378.916	36.90828638497631
South Africa	58227.895	52.39910112359564
South America	91650.634	0
South Korea	12256.44	47.8458278145696
South Sudan	1418.088	48.35603365384596
Spain	132557.408	53.80366071428578
Sri Lanka	26970.703	56.22337402885628
Sudan	1018.853	35.44480701754369
Suriname	85558.514	65.44966042154591
Sweden	125611.141	44.071361607143224
Switzerland	153325.595	44.21901376146771
Syria	2357.772	44.17508274231629
Taiwan	713.708	31.518344298245317
Tajikistan	1794.142	32.565818858561094
Tanzania	460.871	17.58657276995296
Thailand	31053.083	48.88313852813832
Timor	15017.313	45.167009456264964
Togo	3489.138	46.50773148148154
Tonga	9.432	52.69915929203527
Trinidad and Tobago	60235.452	65.60199063231917
Tunisia	59260.312	53.64935185185218
Turkey	111854.967	55.33912485414272
Turkmenistan		62.77387096774167
Turks and Caicos Isl	72793.368	0
Tuvalu		0
Uganda	3069.256	60.4397284533653
Ukraine	88378.138	62.15697109826613
United Arab Emirates	81358.813	50.954616240266816
United Kingdom	192694.554	51.695395763657146
United States	162717.477	56.6182891832226
United States Virgin		46.334914425427776
Upper middle income	34527.661	0
Uruguay	120651.381	45.980315789473806
Uzbekistan	5836.107	47.924806565064635
Vanuatu	21.934	32.93052202283861
Vatican	52837.573	0
Venezuela	15767.274	67.48358313817255
Vietnam	17762.307	61.41500552486141
Wallis and Futuna	39047.046	0
World	36500.743	0
Yemen	307.019	32.22593712212785
Zambia	13057.688	38.05858823529424
Zimbabwe	13334.022	62.864622641508994
