location	total_cases_per_million	stringency_index_avg
Albania	73173.975	55.36087786259558
Andorra	306900.742	45.60276923076931
Austria	141392.107	58.950381194408926
Belarus	74035.777	30.46072796934854
Belgium	180990.591	51.9559777227723
Bosnia and Herzegovi	89265.102	44.83348777348742
Bulgaria	108329.038	46.07720000000036
Croatia	175233.98	44.027468193384266
Cyprus	186189.809	60.00824289405723
Czechia	230846.824	51.26855498721196
Denmark	138027.751	45.22665432098757
Estonia	182168.87	40.31667079207936
Faeroe Islands	117505.555	35.10874035989694
Finland	48812.433	41.20332103321034
France	148586.826	60.33266178266202
Germany	85225.052	63.56088235294147
Gibraltar	258258.882	0
Greece	116756.585	68.83866920152073
Guernsey		0
Hungary	130412.484	50.02214102564072
Iceland	73371.982	38.59403575989796
Ireland	158252.898	57.32506393861911
Isle of Man	159711.978	0
Italy	101473.242	70.41800492610868
Jersey		0
Kosovo	90613.681	56.17166449934922
Latvia	148196.99	47.351732484075825
Liechtenstein	160270.821	46.960167095115835
Lithuania	193168.646	45.39757343550407
Luxembourg	163458.903	46.956035578144665
Malta	101672.157	52.71508365508331
Moldova	93477.302	52.20254193548387
Monaco	126138.664	51.23043478260866
Montenegro	270732.791	0
Netherlands	183630.975	56.33850955414027
North Macedonia	108058.393	0
Norway	72134.241	45.656386768447874
Poland	108691.563	52.17574550128519
Portugal	136669.603	57.31723431498036
Romania	94568.829	54.20608917197441
Russia	70730.327	48.69135467980276
San Marino	241164.363	48.209693094628655
Serbia	189089.735	47.52134860050885
Slovakia	251608.381	51.24962628865986
Slovenia	223237.055	51.27534567901221
Spain	134660.746	54.77576543209886
Sweden	129405.849	47.62189889025929
Switzerland	152901.832	48.8701272264632
Ukraine	88509.484	60.45029525032118
United Kingdom	190078.267	55.916609124537686
Vatican	33251.232	0
