location	total_cases_per_million	stringency_index_avg
Albania	73173.975	53.856868198307275
Andorra	306900.742	43.96795371498198
Austria	140528.683	59.1614873035065
Belarus	74035.777	29.734077669902714
Belgium	180990.591	51.11386792452851
Bosnia and Herzegovi	89265.102	44.57962102689456
Bulgaria	108329.038	44.53831901840524
Croatia	175233.98	43.44789600967348
Cyprus	186189.809	59.828417177914545
Czechia	230846.824	49.62610705596081
Denmark	138027.751	44.44121176470589
Estonia	182168.87	39.75356890459379
Faeroe Islands	117505.555	34.01586080586062
Finland	48812.433	40.34066744730661
France	148586.826	58.250873108265694
Germany	85225.052	58.073282710280566
Gibraltar	258258.882	0
Greece	116756.585	67.25967430639301
Guernsey		0
Hungary	130412.484	48.1510853658534
Iceland	73371.982	37.159089805825396
Ireland	158252.898	54.918845686512626
Isle of Man	159711.978	0
Italy	101473.242	68.9576173708923
Jersey		0
Kosovo	90613.681	55.550655129789384
Latvia	148196.99	47.62455205811119
Liechtenstein	160270.821	45.951208791208884
Lithuania	193168.646	44.01569866342605
Luxembourg	163458.903	45.68768115942011
Malta	101672.157	51.123276283618246
Moldova	93477.302	49.9470674846625
Monaco	126138.664	51.87979343863913
Montenegro	270732.791	0
Netherlands	183630.975	54.47880000000024
North Macedonia	108058.393	0
Norway	72134.241	43.889951632406344
Poland	108691.563	50.275897435897186
Portugal	136669.603	54.82327250608233
Romania	94568.829	51.986234866828006
Russia	70730.327	47.73240610328621
San Marino	241164.363	49.37091130012098
Serbia	189089.735	46.719878934624674
Slovakia	251608.381	49.76324357405142
Slovenia	223237.055	49.96031764705875
Spain	134660.746	55.00343125734447
Sweden	129405.849	45.84043478260905
Switzerland	152901.832	47.22302297460719
Ukraine	88509.484	61.81802439024415
United Kingdom	190078.267	54.069272300469926
Vatican	33251.232	0
