location	total_cases_per_million_w40_w52	people_fully_vaccinated_per_hundred
Afghanistan	77.90599999999995	
Africa	1072.0259999999998	4.09
Albania	14828.475999999995	
Algeria	355.60699999999997	
Andorra	108472.30300000001	60.38
Angola	767.2209999999998	2.92
Anguilla	83158.763	
Antigua and Barbuda	14589.144	
Argentina	8923.028999999995	48.71
Armenia	30951.559999999998	5.15
Aruba	47354.88499999998	69.94
Asia	2049.4919999999984	35.6
Australia	12594.571	41.29
Austria	60533.293000000005	
Azerbaijan	13197.333999999995	35.26
Bahamas	9494.835	
Bahrain	4953.307000000001	75.94
Bangladesh	201.8700000000008	9.52
Barbados	74640.825	36.37
Belarus	17634.583999999995	16.38
Belgium	75065.75400000002	72.71
Belize	33097.435000000005	
Benin	152.11300000000006	
Bermuda	22403.989	
Bhutan	78.45800000000008	63.86
Bolivia	8349.537000000004	26.97
Bonaire Sint Eustati	51935.894	
Bosnia and Herzegovi	18499.864	
Botswana	16644.111000000004	
Brazil	4313.713999999993	40.65
British Virgin Islan	27311.869999999995	
Brunei	20050.609	40.06
Bulgaria	36923.01400000001	19.01
Burkina Faso	156.55600000000004	
Burundi	877.2060000000001	
Cambodia	687.5639999999994	65.61
Cameroon	880.6689999999999	
Canada	16180.127999999997	70.35
Cape Verde	7286.643999999993	22.14
Cayman Islands	117749.794	
Central African Repu	145.1300000000001	
Chad	39.05799999999999	0.17
Chile	7938.365000000005	72.39
China	5.541000000000011	
Colombia	3994.152999999991	32.39
Comoros	2924.6890000000003	
Congo	1024.0230000000001	
Cook Islands	58.813	
Costa Rica	9579.823999999993	
Cote d'Ivoire	404.86500000000024	
Croatia	77670.817	
Cuba	9935.439999999988	44.03
Curacao	26016.875	
Cyprus	52608.96400000001	
Czechia	74815.30900000001	56.72
Democratic Republic 	189.54199999999992	
Denmark	76074.77599999998	73.78
Djibouti	1269.0439999999999	
Dominica	48624.537000000004	
Dominican Republic	5543.236999999997	43.78
Ecuador	2290.346999999998	55.45
Egypt	768.335	
El Salvador	3154.968999999999	52.4
Equatorial Guinea	1164.9069999999992	
Eritrea	363.7810000000002	
Estonia	66133.76500000001	53.2
Eswatini	17059.040999999997	
Ethiopia	653.692	
Europe	39293.91500000001	51.77
European Union	40658.225000000006	62.23
Faeroe Islands	87770.383	68.06
Falkland Islands	4250.796999999999	
Fiji	2787.120999999999	
Finland	23675.972999999998	61.51
France	44188.277	65.61
French Polynesia	20405.747000000003	
Gabon	5412.658000000001	
Gambia	90.91199999999981	
Georgia	87347.19200000001	20.69
Germany	35416.559	63.67
Ghana	498.4310000000005	
Gibraltar	97551.27000000002	
Greece	54079.87200000001	57.98
Greenland	36377.86	
Grenada	10103.523000000001	
Guatemala	4475.059000000005	13.06
Guinea	124.81600000000026	4.05
Guinea-Bissau	186.82800000000043	
Guyana	10471.470000000001	
Haiti	393.00900000000024	0.18
High income	29943.850999999995	58.1
Honduras	1594.127999999997	
Hong Kong	60.843999999999824	54.93
Hungary	44937.86	57.99
Iceland	41656.878000000004	
India	840.3119999999981	15.93
Indonesia	199.83999999999833	17.73
Iran	7516.5509999999995	
Iraq	2296.456999999995	6.74
Ireland	80994.66400000002	74.5
Isle of Man	73745.298	
Israel	12670.97199999998	60.84
Italy	24736.002999999997	68.58
Jamaica	3940.3139999999985	
Japan	270.0529999999999	60.99
Jordan	21852.880999999994	29.09
Kazakhstan	6158.582000000002	33.31
Kenya	878.5289999999995	1.68
Kiribati	0	
Kosovo	905.6659999999974	28.25
Kuwait	1329.6109999999899	
Kyrgyzstan	985.1800000000003	9.17
Laos	12018.896	
Latvia	65044.43400000001	44.59
Lebanon	18898.975999999995	22.58
Lesotho	6142.135	
Liberia	93.57999999999993	
Libya	7684.020000000004	
Liechtenstein	66036.52699999999	
Lithuania	71073.486	58.38
Low income	368.84899999999993	1.08
Lower middle income	1805.8690000000024	13.53
Luxembourg	40674.40299999999	
Macao	18.933999999999997	
Madagascar	255.26	
Malawi	682.0600000000004	2.46
Malaysia	16675.197999999997	60.27
Maldives	21742.883	
Mali	266.83400000000006	
Malta	29203.718000000008	79.76
Marshall Islands	0	
Mauritania	1216.4750000000004	
Mauritius	40871.805	
Mexico	2738.0339999999997	35.13
Micronesia (country)	0	
Moldova	28459.849000000002	25.18
Monaco	45848.55199999998	
Mongolia	101033.461	63.52
Montenegro	64323.359	33.29
Montserrat	2943.174000000001	
Morocco	911.275999999998	
Mozambique	1201.7929999999997	
Myanmar	1350.9770000000008	
Namibia	8186.467000000004	
Nepal	1233.196	20.1
Netherlands	65788.709	
New Caledonia	23075.053000000004	
New Zealand	1934.6060000000002	35.32
Nicaragua	409.60300000000007	
Niger	56.42999999999998	
Nigeria	173.64999999999998	
North America	22266.511	47.65
North Macedonia	16717.300999999992	
Norway	38371.866	67.25
Oceania	8281.530999999999	29.91
Oman	409.2490000000107	
Pakistan	239.8769999999995	
Palau	277.408	
Palestine	14221.005999999994	
Panama	6835.251000000004	55.8
Papua New Guinea	1671.9530000000002	
Paraguay	939.3179999999993	
Peru	3671.815999999999	31.85
Philippines	3100.808000000001	17.83
Poland	31455.300000000003	
Portugal	31360.327000000005	
Qatar	5293.435999999987	
Romania	31807.07699999999	27.56
Russia	20725.265000000007	28.74
Rwanda	1110.3200000000006	12.19
Saint Helena	0	
Saint Kitts and Nevi	24450.699999999997	
Saint Lucia	13503.884999999995	
Saint Pierre and Miq	11728.710000000001	
Saint Vincent and th	24076.985	
Samoa	0	
San Marino	82231.968	
Sao Tome and Princip	2478.631000000001	
Saudi Arabia	258.96799999999894	51.11
Senegal	77.79899999999998	
Serbia	56504.45299999998	41.98
Seychelles	32938.856	
Sierra Leone	79.68499999999995	
