location	total_cases_per_million_w40_w52	people_fully_vaccinated_per_hundred
Afghanistan	609.5849999999996	
Africa	1656.8739999999998	20.29
Albania	24740.517000000007	
Algeria	1078.705	
Andorra	253485.84099999996	
Angola	571.7339999999999	20.94
Anguilla	113121.31	65.21
Antigua and Barbuda	46749.625	
Argentina	82001.503	83.1
Armenia	28059.380000000005	
Aruba	190142.29900000003	77.94
Asia	15333.468000000004	70.92
Australia	298566.81600000005	83.72
Austria	357422.85199999996	74.26
Azerbaijan	17088.057	47.07
Bahamas	28190.318000000007	39.11
Bahrain	234949.923	83.63
Bangladesh	2292.504999999999	70.74
Barbados	198634.423	54.68
Belarus	29625.394	
Belgium	184364.617	78.83
Belize	77808.97	54.15
Benin	175.50400000000013	20.7
Bermuda	151780.011	74.25
Bhutan	73401.96500000001	86.53
Bolivia	27067.821999999993	49.99
Bonaire Sint Eustati	262075.938	
Bosnia and Herzegovi	26721.039999999994	
Botswana	39893.01599999999	
Brazil	46966.62300000001	79.13
British Virgin Islan	110821.92599999999	58.35
Brunei	333271.213	
Bulgaria	61739.63799999999	30.15
Burkina Faso	154.385	
Burundi	1218.368	0.12
Cambodia	951.5930000000008	86.81
Cameroon	393.4390000000003	4.5
Canada	45566.727000000006	82.46
Cape Verde	31993.877000000008	52.33
Cayman Islands	269358.342	87.73
Central African Repu	455.549	22.07
Chad	100.23399999999998	
Chile	112049.37	90.3
China	542.459	88.5
Colombia	19755.608000000007	70.37
Comoros	1976.5680000000002	44.06
Congo	692.1069999999995	
Cook Islands	339469.506	
Costa Rica	64877.91799999999	
Cote d'Ivoire	453.41399999999976	24.78
Croatia	106716.40200000003	55.31
Cuba	12439.088000000003	88.63
Curacao	121993.50700000001	52.36
Cyprus	377106.4280000001	
Czechia	138717.88399999996	65.47
Democratic Republic 	169.86400000000003	2.37
Denmark	404727.002	81.86
Djibouti	1839.7960000000003	
Dominica	111003.70099999999	
Dominican Republic	16820.302000000003	54.03
Ecuador	20253.362	78.83
Egypt	1190.4400000000005	
El Salvador	7554.599000000002	68.46
Equatorial Guinea	1421.871000000001	
Eritrea	493.87999999999965	
Estonia	254915.13899999997	63.83
Eswatini	5871.148999999998	28.69
Ethiopia	568.509	31.84
Europe	156609.514	65.9
European Union	207394.27199999997	73.22
Faeroe Islands	546324.308	
Falkland Islands	460148.777	
