location	total_cases_per_million_w40_w52	people_fully_vaccinated_per_hundred
Albania	24740.517000000007	
Andorra	253485.84099999996	
Austria	357422.85199999996	74.26
Belarus	29625.394	
Belgium	184364.617	78.83
Bosnia and Herzegovi	26721.039999999994	
Bulgaria	61739.63799999999	29.96
Croatia	106716.40200000003	55.31
Cyprus	377106.4280000001	
Czechia	138717.88399999996	65.47
Denmark	404727.002	81.86
Estonia	254915.13899999997	63.83
Faeroe Islands	546324.308	
Finland	158017.028	78.33
France	313346.653	78.54
Germany	253493.64099999997	75.98
Gibraltar	334618.917	
Greece	236051.97100000002	73.06
Hungary	69178.66100000001	63.85
Iceland	450748.646	
Ireland	162849.848	81.11
Isle of Man	270842.481	
Italy	209273.446	80.95
Kosovo	37996.98700000001	46.24
Latvia	298370.954	69.69
Liechtenstein	301544.60900000005	67.71
Lithuania	228488.96399999998	67.36
Luxembourg	249672.7	
Malta	96173.12199999999	89.23
Moldova	47089.89699999998	
Monaco	218639.26300000004	
Montenegro	111789.43099999998	45.22
Netherlands	288037.8	69.2
North Macedonia	42299.11600000001	
Norway	194893.005	74.94
Poland	49775.259000000005	58.79
Portugal	367497.78	86.42
Romania	57457.462000000014	
Russia	54036.417	51.52
San Marino	290819.653	
Serbia	106244.489	
Slovakia	216614.51599999997	50.82
Slovenia	271145.271	57.67
Spain	135601.36	85.47
Sweden	115066.766	
Switzerland	279254.588	69.09
Ukraine	33074.820999999996	
United Kingdom	146182.81799999997	74.69
Vatican	3913.895000000004	
