location	total_deaths_per_million	stringency_index_avg
Afghanistan	184.66	36.60310638297866
Africa	166.331	0
Albania	1119.761	54.92499999999993
Algeria	140.665	62.53431818181818
Andorra	1809.861	48.202148997134636
Angola	52.161	63.75445588235285
Anguilla	330.579	0
Antigua and Barbuda	1205.332	0
Argentina	2569.168	68.28718050065814
Armenia	2685.868	0
Aruba	1688.512	46.34406113537102
Asia	269.248	0
Australia	87.365	59.614386920981076
Austria	1518.621	60.626392045454395
Azerbaijan	817.541	68.60987124463526
Bahamas	1806.437	65.37707602339162
Bahrain	797.348	53.700382978723596
Bangladesh	168.8	72.16480631276946
Barbados	903.694	56.35377745241518
Belarus	590.71	31.49429386590568
Belgium	2435.539	54.379310344827566
Belize	1486.732	67.00927621861193
Benin	12.931	42.62624269005843
Bermuda	1771.565	50.323289280469936
Bhutan	3.847	65.14479827089323
Bolivia	1663.154	53.80494920174111
Bonaire Sint Eustati	869.73	0
Bosnia and Herzegovi	4118.943	46.0304172661867
Botswana	1019.506	52.63077611940311
Brazil	2894.173	58.99815078236133
British Virgin Islan	1281.925	0
Brunei	221.954	49.10011577424081
Bulgaria	4488.408	47.687528901734275
Burkina Faso	14.793	29.244840579709955
Burundi	3.101	14.313587443946169
Cambodia	177.736	50.525075034106685
Cameroon	67.991	39.43351585014423
Canada	796.445	64.84094005449603
Cape Verde	626.445	61.08117647058767
Cayman Islands	165.419	0
Central African Repu	20.529	31.65518248175192
Chad	10.701	45.24301027900142
Chile	2035.929	68.04623229461734
China	3.21	71.41578590785932
Colombia	2534.67	66.21845821325695
Comoros	176.711	0
Congo	64.875	49.656321167883405
Cook Islands		0
Costa Rica	1430.808	58.43239193083566
Cote d'Ivoire	26.392	31.348388969521135
Croatia	3071.792	45.635994318181815
Cuba	735.322	67.67885174418618
Curacao	1146.872	0
Cyprus	712.05	59.70187861271672
Czechia	3368.812	49.69655221745336
Democratic Republic 	13.044	45.163642960812616
Denmark	561.987	48.89211829436039
Djibouti	188.586	49.118489736070345
Dominica	651.222	45.815398230088746
Dominican Republic	387.722	66.11137339055772
Ecuador	1882.832	65.75457796852645
Egypt	208.636	53.03158041958011
El Salvador	586.638	51.13301027900099
Equatorial Guinea	120.699	0
Eritrea	21.103	74.01363770250393
Estonia	1457.906	38.674407713498695
Eswatini	1111.425	63.70237609329444
Ethiopia	58.85	54.20384279475933
Europe	2043.706	0
European Union	2022.608	0
Faeroe Islands	285.406	37.13366379310321
Falkland Islands		0
Fiji	773.065	61.51290410958876
Finland	308.92	42.43815321477445
France	1836.27	60.41836956521727
French Polynesia	2251.057	0
Gabon	126.381	66.74448979591821
Gambia	137.921	46.31386530014619
Georgia	3467.534	60.12661450924628
Germany	1336.238	63.16995907230582
Ghana	40.81	45.44970845481065
Gibraltar	2968.152	0
Greece	2004.677	68.94406515580661
Greenland	17.585	40.20869883040944
Grenada	1769.677	0
Guatemala	882.582	60.92771067415716
Guernsey		0
Guinea	28.969	60.127889374090515
Guinea-Bissau	73.927	0
Guyana	1333.622	64.22925872093002
Haiti	66.368	51.02476470588241
High income	1598.949	0
Honduras	1036.769	79.5234542815671
Hong Kong	28.201	60.874328358208686
Hungary	4067.401	50.30901004304155
Iceland	100.328	40.70726495726513
India	345.545	67.8019863013701
Indonesia	521.396	63.72967048710592
International		0
Iran	1547.782	63.6567746478875
Iraq	586.653	72.49490780141797
Ireland	1186.457	61.987385714285786
Isle of Man	784.451	0
Israel	887.203	59.91242595204565
Italy	2276.093	70.62168724279886
Jamaica	831.69	70.74779390420885
Japan	145.886	42.064525745257704
Jersey		0
Jordan	1232.152	58.52865136298429
Kazakhstan	958.728	71.37275109170315
Kenya	97.807	58.799337175792715
Kiribati		29.78039062500008
Kosovo	1677.782	57.91202623906636
Kuwait	570.167	63.34622695035406
Kyrgyzstan	422.73	56.653519061583545
Laos	50.411	49.54267751479294
Latvia	2447.864	49.16362731152183
Lebanon	1347.141	65.80484463276832
Lesotho	308.003	55.890607028753834
Liberia	55.403	52.59928257686676
Libya	820.575	66.63978448275833
Liechtenstein	1803.733	46.34158045977008
Lithuania	2746.238	47.9395999999999
Low income	57.745	0
Lower middle income	358.787	0
Luxembourg	1441.367	47.67080851063814
Macao		30.150054200541792
Madagascar	36.127	50.28742647058833
Malawi	120.32	47.1411475409836
Malaysia	960.667	62.25922554347817
Maldives	481.954	0
Mali	31.646	46.35305185185194
Malta	922.302	52.40381294963989
Marshall Islands		0
Mauritania	181.357	42.866078717201276
Mauritius	617.232	45.10661290322589
Mexico	2298.656	51.80071146245065
Micronesia (country)		0
Moldova	2553.414	54.49417630057807
Monaco	961.538	53.528114285714246
Mongolia	618.452	59.990594202898606
Montenegro	3838.86	0
Montserrat	200.763	0
Morocco	397.619	66.17084487534575
Mozambique	62.37	56.28300884955779
Myanmar	351.567	73.65622585438304
Namibia	1404.143	48.24540816326505
Nauru		0
