location	total_deaths_per_million	stringency_index_avg
Afghanistan	184.66	33.60939068100332
Africa	166.331	0
Albania	1119.761	53.277069377990564
Algeria	140.665	62.33271531100483
Andorra	1809.861	43.491192771084584
Angola	52.161	61.868657635468004
Anguilla	330.579	0
Antigua and Barbuda	1205.332	0
Argentina	2569.168	64.67029180695775
Armenia	2685.868	0
Aruba	1688.512	44.15349206349174
Asia	269.248	0
Australia	87.365	58.13183602771369
Austria	1859.434	58.86132775119604
Azerbaijan	817.541	72.7025270758118
Bahamas	1806.437	62.50127450980361
Bahrain	797.348	50.072425328554374
Bangladesh	168.8	67.3093325242724
Barbados	903.694	58.15696932515262
Belarus	590.71	29.412821128451185
Belgium	2435.539	50.712147024504304
Belize	1486.732	65.69740420271955
Benin	12.931	40.105024509803826
Bermuda	1771.565	48.56654366543652
Bhutan	3.847	64.51581113801427
Bolivia	1663.154	50.329658952496565
Bonaire Sint Eustati	869.73	0
Bosnia and Herzegovi	4118.943	44.67894800483644
Botswana	1019.506	46.86527431421462
Brazil	2894.173	63.71189221556931
British Virgin Islan	1281.925	0
Brunei	221.954	49.137120291616114
Bulgaria	4488.408	44.05185679611684
Burkina Faso	14.793	26.927785888077594
Burundi	3.101	14.730499375780234
Cambodia	177.736	47.558890173410404
Cameroon	67.991	37.13382566585967
Canada	803.039	64.4480552359032
Cape Verde	626.445	59.19725369458118
Cayman Islands	165.419	0
Central African Repu	20.529	29.09977968176263
Chad	10.701	43.432742927429125
Chile	2035.929	63.330453460619886
China	3.21	69.24990804597704
Colombia	2534.67	64.21935835351124
Comoros	176.711	0
Congo	64.875	49.13443084455298
Cook Islands		0
Costa Rica	1430.808	54.56014527845038
Cote d'Ivoire	26.392	29.469622411693063
Croatia	3071.792	43.16620813397126
Cuba	735.322	60.96125609756068
Curacao	1146.872	0
Cyprus	712.05	59.891820388349906
Czechia	3368.812	49.088640192538854
Democratic Republic 	13.044	42.51336175395849
Denmark	561.987	44.04025611175787
Djibouti	188.586	49.93212530712547
Dominica	651.222	45.09280246913619
Dominican Republic	387.722	57.544103489771175
Ecuador	1882.832	65.63860409145579
Egypt	208.636	51.19501770956244
El Salvador	586.638	49.11726937269387
Equatorial Guinea	120.699	0
Eritrea	21.103	70.73865598027186
Estonia	1457.906	39.33657342657358
Eswatini	1111.425	59.88438875305649
Ethiopia	58.85	51.41438339438277
Europe	2047.572	0
European Union	2029.084	0
Faeroe Islands	285.406	33.64612318840562
Falkland Islands		0
Fiji	773.065	62.49684454756381
Finland	308.92	40.075527230590765
France	1836.27	57.64688940092193
French Polynesia	2251.057	0
Gabon	126.381	59.787493887530424
Gambia	137.921	41.28395092024511
