location	total_deaths_per_million	stringency_index_avg
Albania	1119.761	55.121690962099116
Andorra	1809.861	48.563147058823446
Austria	1518.621	60.61916909620981
Belarus	590.71	31.883674963396576
Belgium	2435.539	54.574568599717075
Bosnia and Herzegovi	4118.943	46.38032496307202
Bulgaria	4488.408	47.848323442136675
Croatia	3071.792	45.9426239067055
Cyprus	712.05	57.29569732937669
Czechia	3368.812	49.95102790014672
Denmark	561.987	49.08335684062061
Estonia	1457.906	38.87563559322041
Faeroe Islands	285.406	37.435280235987946
Finland	281.885	42.64660589060323
France	1836.27	60.48233983286891
Germany	1336.238	61.54994405594424
Gibraltar	2968.152	0
Greece	2004.677	69.72700581395273
Guernsey		0
Hungary	4067.401	50.399145802650835
Iceland	100.328	41.00421052631594
Ireland	1186.457	62.56439882697956
Isle of Man	784.451	0
Italy	2276.093	70.05666666666707
Jersey		0
Kosovo	1677.782	57.17726047904139
Latvia	2447.864	49.736306569342794
Liechtenstein	1803.733	47.571887905604676
Lithuania	2746.238	48.322316715542364
Luxembourg	1441.367	47.50454148471592
Malta	922.302	52.89714918759198
Moldova	2553.414	54.47324925816025
Monaco	961.538	53.99043988269784
Montenegro	3838.86	0
Netherlands	1222.785	57.85938596491221
North Macedonia	3822.033	0
Norway	238.765	48.65080291970801
Poland	2567.77	54.82952802359859
Portugal	1864.196	61.9744640234946
Romania	3071.555	55.65545985401448
Russia	2074.339	49.52503516174385
San Marino	2940.312	47.37143695014623
Serbia	1850.238	50.06364963503646
Slovakia	3046.298	52.52008875739647
Slovenia	2688.67	52.49813822284889
Spain	1912.602	58.02009859154915
Sweden	1506.866	50.34602816901432
Switzerland	1401.756	50.26071428571436
Ukraine	2348.642	59.65617083947014
United Kingdom	2180.667	58.95507735583714
Vatican		0
