location	total_deaths_per_million	stringency_index_avg
Albania	1119.761	53.277069377990564
Andorra	1809.861	43.491192771084584
Austria	1859.434	58.86132775119604
Belarus	590.71	29.412821128451185
Belgium	2435.539	50.712147024504304
Bosnia and Herzegovi	4118.943	44.67894800483644
Bulgaria	4488.408	44.05185679611684
Croatia	3071.792	43.16620813397126
Cyprus	712.05	59.891820388349906
Czechia	3368.812	49.088640192538854
Denmark	561.987	44.04025611175787
Estonia	1457.906	39.33657342657358
Faeroe Islands	285.406	33.64612318840562
Finland	308.92	40.075527230590765
France	1836.27	57.64688940092193
Germany	1334.021	57.46905202312158
Gibraltar	2968.152	0
Greece	2004.677	66.53731503579928
Guernsey		0
Hungary	4067.401	47.62833534378744
Iceland	100.328	36.75761104441792
Ireland	1186.457	54.32477163461525
Isle of Man	784.451	0
Italy	2276.093	68.23680603948924
Jersey		0
Kosovo	1677.782	54.93946210268901
Latvia	2447.864	47.111233532933944
Liechtenstein	1803.733	45.45173913043487
Lithuania	2746.238	44.82073317307652
Luxembourg	1441.367	45.584707287932915
Malta	922.302	50.684486094316476
Moldova	2553.414	52.12828883495131
Monaco	961.538	51.49981971153806
Montenegro	3838.86	0
Netherlands	1222.785	53.89089928057578
North Macedonia	3822.033	0
Norway	238.765	43.417452153110105
Poland	2567.77	49.94405797101421
Portugal	1864.196	54.57056558363374
Romania	3071.555	51.612179640718495
Russia	2074.339	47.556109175377316
San Marino	2940.312	48.83685096153794
Serbia	1850.238	46.21631137724549
Slovakia	3052.702	49.22102905569009
Slovenia	2688.67	49.67892898719437
Spain	1912.602	54.80091860465131
Sweden	1506.866	45.36070930232594
Switzerland	1401.756	45.844102870813195
Ukraine	2348.642	61.14689987937298
United Kingdom	2180.667	53.65041811846743
Vatican		0
