location	total_deaths_per_million_w40_w52	people_fully_vaccinated_per_hundred
Afghanistan	3.914999999999992	
Africa	14.141999999999996	4.09
Albania	202.12300000000005	
Algeria	11.295000000000016	
Andorra	126.52800000000002	60.38
Angola	7.796999999999997	2.92
Anguilla	253.92	
Antigua and Barbuda	590.002	
Argentina	50.95399999999972	48.71
Armenia	974.9290000000001	5.15
Aruba	150.18399999999997	69.94
Asia	30.201000000000022	35.6
Australia	38.888000000000005	41.29
Austria	376.4820000000002	
Azerbaijan	184.33100000000002	35.26
Bahamas	478.05099999999993	
Bahrain	3.41700000000003	75.94
Bangladesh	3.884999999999991	9.52
Barbados	686.344	36.37
Belarus	155.144	16.38
Belgium	239.1619999999998	72.71
Belize	499.961	
Benin	0.5389999999999997	
Bermuda	903.638	
Bhutan	0	63.86
Bolivia	81.12900000000013	26.97
Bonaire Sint Eustati	149.779	
Bosnia and Herzegovi	923.281	
Botswana	32.452	
Brazil	114.78800000000001	40.65
British Virgin Islan	64.26300000000015	
Brunei	136.964	40.06
Bulgaria	1519.9250000000002	19.01
Burkina Faso	6.244	
Burundi	0	
Cambodia	46.355999999999995	65.61
Cameroon	17.75800000000001	
Canada	73.332	70.35
Cape Verde	30.615999999999985	22.14
Cayman Islands	132.089	
Central African Repu	0.18299999999999983	
Chad	0.4079999999999995	0.17
Chile	85.92799999999988	72.39
China	0	
Colombia	73.70399999999972	32.39
Comoros	12.17100000000002	
Congo	30.159	
Costa Rica	225.846	
Cote d'Ivoire	4.149000000000001	
Croatia	971.1499999999996	
Cuba	97.27900000000011	44.03
Curacao	152.36	
Cyprus	97.09699999999998	
Czechia	540.0190000000002	56.72
Democratic Republic 	1.2720000000000002	
Denmark	106.75999999999999	73.78
Djibouti	24.423000000000002	
Dominica	441.91599999999994	
Dominican Republic	18.708000000000027	43.78
Ecuador	52.47900000000004	55.45
Egypt	41.78	
El Salvador	101.20099999999996	52.4
Equatorial Guinea	20.189999999999998	
Eritrea	9.391999999999998	
Estonia	442.5379999999999	53.2
Eswatini	76.32500000000005	
Ethiopia	12.769999999999996	
Europe	416.8919999999998	51.79
European Union	307.07100000000014	62.26
