location	total_deaths_per_million_w40_w52	people_fully_vaccinated_per_hundred
Albania	200.83999999999992	
Andorra	129.27600000000007	61.69
Austria	305.64800000000014	
Belarus	157.36700000000002	16.61
Belgium	238.73100000000022	72.54
Bosnia and Herzegovi	925.3990000000003	
Bulgaria	1517.5470000000005	18.98
Croatia	966.0299999999997	
Cyprus	97.09799999999996	
Czechia	529.2529999999997	55.57
Denmark	107.51199999999994	73.66
Estonia	443.7099999999999	53.31
Faeroe Islands	244.63400000000001	73.39
Finland	109.94200000000001	61.37
France	108.6289999999999	65.53
Germany	222.90700000000015	63.6
Gibraltar	89.04500000000007	
Greece	589.2529999999999	58.39
Hungary	937.8089999999997	58.44
Iceland	10.847000000000008	
Ireland	141.08300000000008	74.35
Isle of Man	187.33100000000002	
Italy	111.06899999999996	67.3
Kosovo	30.30099999999993	28.25
Latvia	1010.213	44.76
Liechtenstein	287.5519999999999	60.01
Lithuania	919.7499999999998	60.48
Luxembourg	126.02099999999996	
Malta	36.815000000000055	81.4
Moldova	889.6570000000002	19.16
Monaco	126.51800000000003	
Montenegro	821.5889999999999	33.28
Netherlands	162.231	
North Macedonia	655.8910000000001	
Norway	83.24799999999999	66.44
Poland	568.3520000000001	
Portugal	98.44699999999989	85.16
Romania	1171.647	27.85
Russia	701.971	28.58
San Marino	294.03099999999995	
Serbia	678.595	41.98
Slovakia	741.2000000000003	43.71
Slovenia	506.0799999999999	49.03
Spain	67.94200000000001	77.97
Sweden	48.128999999999905	64.31
Switzerland	134.702	57.59
Ukraine	984.8199999999999	12.61
United Kingdom	182.82600000000002	65.63
