location	total_deaths_per_million_w40_w52	people_fully_vaccinated_per_hundred
Albania	202.12300000000005	
Andorra	126.52800000000002	60.38
Austria	376.4820000000002	61.45
Belarus	155.144	16.38
Belgium	239.1619999999998	72.72
Bosnia and Herzegovi	923.281	
Bulgaria	1519.9250000000002	19.01
Croatia	971.1499999999996	
Cyprus	97.09699999999998	
Czechia	540.0190000000002	56.72
Denmark	106.75999999999999	73.59
Estonia	442.5379999999999	53.1
Faeroe Islands	226.89399999999998	68.06
Finland	110.18800000000002	61.51
France	108.6289999999999	65.63
Germany	222.18399999999997	63.68
Gibraltar	91.82699999999977	
Greece	585.0440000000001	57.98
Hungary	930.5040000000004	57.99
Iceland	10.801000000000002	
Ireland	140.98000000000002	74.53
Isle of Man	189.88199999999995	
Italy	113.18299999999999	68.58
Kosovo	30.30099999999993	28.25
Latvia	1006.4470000000001	44.59
Liechtenstein	281.769	
Lithuania	890.3159999999998	58.38
Luxembourg	125.13299999999981	
Malta	36.07000000000005	79.76
Moldova	1169.359	25.18
Monaco	136.29100000000005	
Montenegro	821.8400000000001	33.29
Netherlands	159.18499999999995	
North Macedonia	649.4459999999999	
Norway	84.21300000000002	67.25
Poland	560.7750000000001	
Portugal	97.27800000000002	
Romania	1159.4759999999999	27.56
Russia	705.886	28.74
San Marino	296.3309999999997	
Serbia	678.595	41.98
Slovakia	741.424	43.61
Slovenia	496.3649999999998	48.08
Spain	66.88100000000009	76.75
Sweden	46.718000000000075	62.48
Switzerland	135.07600000000002	57.72
Ukraine	983.3590000000002	12.59
United Kingdom	202.15200000000004	66.54
