location	excess_mortality_cumulative_per_million_w40_w52	people_fully_vaccinated_per_hundred
South Africa	2073.05144416557	32.09
Armenia	2962.8366297930397	
Azerbaijan	1577.5635237572196	47.06
Israel	634.6249058228441	66.16
Japan	406.72795905837097	82.16
Kazakhstan	2239.7873775197704	48.48
Kyrgyzstan	823.1022575490501	20.24
Macao	451.20425512702303	85.35
Mongolia	755.1268272545819	
Oman	256.61042842659504	67.24
Qatar	134.140058439832	98.45
Singapore	619.7007481296762	91.39
Taiwan	401.44322409906704	81.41
Thailand	1276.117212887074	73.88
Uzbekistan	527.7709876713279	45.69
Austria	937.471769481608	
Belgium	530.9428131959701	78.84
Bulgaria	5182.30962312957	29.94
Croatia	2726.92903068494	55.3
Cyprus	1152.446353655719	72.0
Czechia	800.8182099279302	65.47
Denmark	614.5118751537341	81.64
Estonia	1953.6374248231873	63.41
Faeroe Islands	990.7729541673009	
Finland	1094.6005702320379	78.29
France	377.65417816142906	78.54
Germany	707.013815393565	75.97
Greece	2204.623773319552	73.04
Hungary	1451.9681484226298	63.84
Iceland	619.9792080143657	
Ireland	484.425429647815	81.12
Kosovo	556.8664199560599	46.22
Latvia	2890.5731784564796	69.68
Lithuania	3467.56734158673	67.34
Luxembourg	-145.1539993211548	
Malta	636.167579183971	89.19
Monaco	1384.7244180341304	
Netherlands	815.041010882599	68.26
North Macedonia	3171.4471813742903	39.82
Norway	800.829758018708	74.92
Poland	1519.4193463741494	58.78
Portugal	676.4169415991198	86.44
Romania	3062.7165189750303	41.98
Russia	4418.16973082283	51.46
San Marino	829.7279677591396	
Serbia	4286.95314170157	47.71
Slovakia	1938.1667817627604	50.73
Slovenia	775.3572928314898	57.67
Spain	656.3763275098702	85.42
Sweden	239.655751733261	73.03
Switzerland	510.4582618738601	69.07
United Kingdom	590.3475927244901	74.6
Greenland	-817.8795583450399	
Mexico	1337.2875218367199	63.1
Puerto Rico	1062.6137121670931	
United States	1427.3260870231	67.05
New Zealand	131.91732583092102	80.19
Brazil	1041.9737579194903	78.82
Chile	1089.2474005272802	90.19
Colombia	960.5066425045998	70.23
Ecuador	569.6454554868396	78.76
Paraguay	984.2180530770597	51.48
Peru	240.21612392079987	82.19
