location	excess_mortality_cumulative_per_million_w40_w52	people_fully_vaccinated_per_hundred
Austria	505.7573355603099	
Belgium	345.0812192978599	72.51
Bulgaria	2794.78964802502	18.98
Croatia	1429.9339704438703	
Czechia	719.8621704792699	55.55
Denmark	270.121868776128	74.46
Estonia	840.1072149762902	53.27
Finland	272.386746284173	61.37
France	154.29757372726203	65.48
Germany	464.03553562888	63.6
Hungary	1080.4053326070298	58.44
Iceland	-8.154706430567998	
Latvia	1648.5853276012897	44.77
Liechtenstein	36.59748000209015	60.0
Lithuania	1575.5826878850994	60.48
Luxembourg	138.78080823674338	
Malta	158.30265452431695	81.4
Monaco	359.3117408906901	
Netherlands	541.1080845420199	
Norway	314.346253651684	66.43
Poland	1019.2978278699297	
Portugal	273.99892780463006	85.16
Russia	2001.42178826088	28.58
San Marino	588.0623346074599	
Serbia	2458.36927259611	41.98
Slovakia	1287.6309853305197	43.71
Slovenia	620.09223932193	49.03
Spain	189.9488698425098	77.97
Sweden	108.7975099602279	64.32
Switzerland	244.598871848224	57.5
United Kingdom	301.8204230133499	65.63
