location	excess_mortality_cumulative_per_million_w40_w52	people_fully_vaccinated_per_hundred
Albania	847.0912982404498	
Austria	505.4425637424099	61.45
Belgium	346.65010825549007	72.72
Bosnia and Herzegovi	1355.1749449623503	
Bulgaria	2841.5734951643	19.01
Croatia	1465.5916613610098	
Cyprus	265.95774363370094	
Czechia	759.6222914635	56.72
Denmark	270.79518434502097	73.59
Estonia	854.44355050534	53.1
Faeroe Islands	412.19180154289006	68.06
Finland	307.85810384119	61.51
France	167.83839102962895	65.63
Germany	494.20350819173586	63.68
Greece	718.9313154686301	57.98
Hungary	1145.9366869671499	57.99
Iceland	3.2403094495529956	
Ireland	195.92798673866304	74.53
Italy	251.7440399133502	68.58
Kosovo	91.23990314878984	28.25
Latvia	1691.00158544739	44.59
Liechtenstein	35.86157432311006	
Lithuania	1581.5041065422292	58.38
Luxembourg	133.10997136024	
Malta	175.98548072323	79.76
Moldova	1306.25254368275	25.18
Monaco	387.06863653710025	
Netherlands	530.94854350116	
North Macedonia	975.6909281948201	
Norway	330.01907636487	67.25
Poland	1017.3509124503998	
Portugal	273.95255421642014	
Romania	2256.7175206016395	27.56
Russia	2012.5841166833807	28.74
San Marino	592.6628341136698	
Serbia	2309.640027202029	41.98
Slovakia	1333.3157109652598	43.61
Slovenia	659.1928885869102	48.08
Spain	185.2551654470899	76.75
Sweden	105.60712296828797	62.48
Switzerland	278.35542373696	57.72
Ukraine	1832.2121432192098	12.59
United Kingdom	305.98962203914016	66.54
