location	excess_mortality_cumulative_per_million_delta_q4	people_fully_vaccinated_per_hundred	excess_mortality_cumulative_per_million_2021	excess_mortality_cumulative_per_million_2020
Albania	-538.1954479999999		841.717909	1379.913357
Antigua and Barbuda	-152.94546629999996		-358.5608946	-205.61542830000002
Armenia	-978.8661411999997	4.85	1588.913955	2567.7800961999997
Aruba	516.8151508000001	69.51	612.9017220000001	96.08657119999998
Australia	64.92112269999996	41.51	2.978104299999984	-61.94301839999997
Austria	-214.04230819999998		507.858391	721.9006992
Azerbaijan	-772.496748	35.57	673.292418	1445.789166
Belgium	-425.52079460000016	72.56	351.0989279999999	776.6197226
Bolivia	550.886103	27.54	657.402356	106.516253
Bosnia and Herzegovi	-436.68389860000025		1358.28273	1794.9666286000001
Brazil	-135.6812616000002	40.71	161.78112699999974	297.46238859999994
Bulgaria	408.3138850800001	18.98	2837.2740110000004	2428.9601259200003
Chile	41.83244139999999	73.44	195.34818300000006	153.51574160000007
Colombia	-295.2336239	32.54	114.70210700000007	409.93573090000007
Costa Rica	-33.021648689999836		168.04652480000016	201.06817349
Croatia	144.89213626999958		1457.8638039999996	1312.97166773
Cyprus	152.67771940000006		203.45868600000006	50.780966599999985
Czechia	-666.2095850299997	55.58	744.012361	1410.2219460299998
Denmark	210.8784302	74.52	271.3260037	60.447573500000004
Ecuador	-156.59245199999964	55.16	69.06681900000012	225.65927099999976
Egypt	188.5000516		434.88229	246.3822384
Estonia	692.12821141	53.33	849.917144	157.78893259
Faeroe Islands	472.95782099999997	73.39	444.41726300000005	-28.54055799999992
Finland	240.30520008	61.37	277.7937485	37.48854842
France	-258.04336920000003	65.56	165.62842939999996	423.6717986
Georgia	522.1905867600003	19.54	1715.8516320000003	1193.66104524
Germany	97.04713055999997	63.61	478.5050606	381.45793004
Greece	284.5407382999998	58.39	724.1040599999999	439.5633217000001
Greenland	-332.34859679999994		-167.05352749999997	165.29506929999997
Guatemala	119.31593190000001	12.6	286.35823600000003	167.04230410000002
Hong Kong	1.2180913400000009	54.51	130.2563288	129.03823746
Hungary	-202.8718227000004	58.44	1154.7241989999998	1357.5960217000002
Iceland	-119.03728933000001		-7.592355600000005	111.44493373
Iran	-422.63700000000017		251.1456119999998	673.782612
Ireland	209.31569219	74.47	196.07040389999997	-13.245288290000005
Israel	-50.123775600000016	60.81	75.87988380000002	126.00365940000003
Italy	-586.3339887	67.3	247.04364299999997	833.3776316999999
Japan	13.596899499999978	57.51	38.81371759999999	25.216818100000012
Kazakhstan	407.0922400000002	33.66	690.1936820000001	283.1014419999999
Kosovo	-959.9829409999999	28.25	28.39323000000013	988.376171
Kyrgyzstan	-229.33319619999986	9.03	282.64965600000005	511.9828521999999
Latvia	1078.4526931	44.75	1650.727878	572.2751849
Lebanon	-62.12004980000006	18.65	313.658242	375.77829180000003
Liechtenstein	-1165.8911484		36.597479999999905	1202.4886284
Lithuania	63.572034399999666	60.48	1575.5826879999995	1512.0106535999998
Luxembourg	-261.96649726000004		138.78080824	400.74730550000004
Macao	73.3606626		117.10366640000001	43.74300380000001
Malta	-312.14880834999997	81.4	164.1154815	476.26428984999995
Mauritius	1237.8399094		1200.3819612	-37.457948199999976
Mexico	-582.6654880000003	34.17	165.45702999999958	748.1225179999999
Moldova	164.81010949999995	19.16	993.805953	828.9958435000001
Monaco	169.53441300000003		359.311741	189.77732799999995
Mongolia	612.9850220999999	63.87	466.1365424	-146.84847969999998
Netherlands	152.9019750999999		541.108084	388.20610890000006
New Zealand	5.520550900000046	35.34	-32.71365309999993	-38.23420399999998
North Macedonia	-1075.6431312		985.3739999999998	2061.0171311999998
Norway	318.84710805000003	66.45	323.6772932	4.830185149999998
Oman	-94.32596849999999		-1.818747099999996	92.50722139999999
Paraguay	-228.7925390000001		50.40416899999991	279.196708
Peru	-164.54125499999918	32.14	126.8217680000007	291.3630229999999
Poland	-550.8082657599998		1030.6214770000001	1581.42974276
Portugal	-241.77995780000015	85.16	277.24442899999985	519.0243868
Puerto Rico	-180.64199570000005		97.62234199999989	278.26433769999994
Qatar	9.827593999999962		18.460862299999974	8.633268300000012
Romania	759.4611645	27.85	2280.40673	1520.9455655000002
Russia	341.11719790000006	28.58	2001.421789	1660.3045911
San Marino	-370.4792710000004		588.0623349999996	958.541606
Serbia	839.5925987000005	41.98	2458.3692730000002	1618.7766742999997
Seychelles	269.94237250000015		-203.21504349999987	-473.157416
Singapore	260.928561004	79.53	245.59923725	-15.329323754
Slovakia	393.3554404300003	43.7	1290.3379720000003	896.98253157
Slovenia	-817.7135669300003	49.03	652.8527369999997	1470.56630393
South Africa	-95.2166878999999	13.98	291.77744200000006	386.99412989999996
South Korea	138.138087609	45.66	146.133381028	7.995293418999999
Spain	-181.88815199999954	77.97	203.8540370000003	385.7421889999998
Sweden	-135.96243909999998	64.32	108.79750999999999	244.75994909999997
Switzerland	-557.4440179000001	57.56	277.586102	835.0301199
Taiwan	91.88007819999999	9.02	50.15299089999999	-41.727087299999994
Thailand	201.8846262700001		269.1604407000001	67.27581443
Ukraine	847.61660239	12.61	1834.93516	987.31855761
United Kingdom	-0.4515658000000258	65.63	301.83508400000005	302.2866498000001
United States	-80.25830600000006	56.84	465.90140299999985	546.1597089999999
Uruguay	108.11580100000003	73.98	80.62776029999998	-27.488040700000056
Uzbekistan	-218.70436700000005		-44.934893999999986	173.76947300000006
