location	a.excess_mortality_cumulative_per_million_delta_q4 + b.excess_mortality_cumulative_per_million_delta_q1	people_fully_vaccinated_per_hundred
Austria	-186.75069729999984	0.6677777777777777
Belgium	-306.21541560000003	0.7593758064516126
Bulgaria	911.45635008	0.23230476190476193
Chile	161.89576300000022	0.828264516129032
Colombia	-460.79415789999996	0.4750382352941176
Cyprus	508.0328796200001	0.6296666666666666
Denmark	442.7432121	0.7893241935483872
Estonia	609.5738867199998	0.5961806451612904
France	-335.80433689999995	0.725517741935484
Germany	-48.9508575399999	0.7017225806451611
Greece	811.5905253999998	0.6679322580645162
Hungary	-733.3590617	0.6172024390243901
Iran	-384.13355700000034	0.5718392857142856
Israel	13.400064599999979	0.6378290322580642
Latvia	821.4002206999999	0.5986419354838708
Lithuania	-152.49852859999987	0.662359677419355
Mongolia	759.7133556999999	0.6464526315789472
Netherlands	-10.038959900000066	0.6994222222222223
New Zealand	54.03507400000001	0.6477854838709676
Norway	585.76972568	0.7086516129032258
Peru	-1362.3350409999998	0.5964564516129034
Poland	-804.6458717599999	0.5606795454545455
Portugal	-1184.2143180000003	0.908585714285714
Slovenia	-968.04624693	0.5553311475409834
South Africa	-1092.6252356999994	0.25442564102564097
Sweden	-167.5269057999999	0.70723
Switzerland	-625.4149220000002	0.6495016393442619
Taiwan	126.35921150000001	0.4957549019607842
Thailand	354.93067118	0.554998275862069
United Kingdom	-559.6278418000002	0.69292131147541
