location	sum_stringency_index	people_fully_vaccinated_per_hundred
Afghanistan	35.09354309165522	9.36
Albania	51.933625170998624	36.12
Algeria	59.54067031463747	12.7
Andorra	45.0304514363885	65.03
Angola	57.5989466484268	11.39
Argentina	70.00112175102528	73.87
Aruba	43.11380300957575	74.16
Australia	58.71075239398101	76.22
Austria	57.1449110807113	70.49
Azerbaijan	68.30318741450048	45.35
Bahamas	59.5244733242133	36.13
Bahrain	50.26276333789373	80.5
Bangladesh	66.98056087551345	24.06
Barbados	53.670478796168986	51.09
Belarus	29.577332421340454	33.7
Belgium	52.19626538987691	76.02
Belize	61.20913816689526	49.78
Benin	38.714952120382925	10.15
Bermuda	46.615978112175014	70.44
Bhutan	61.17618331053339	72.68
Bolivia	50.14740082079299	38.02
Botswana	48.390861833105575	39.95
Brazil	58.9613406292751	66.92
Brunei	44.14432284541726	89.97
Bulgaria	43.50173734610139	27.81
Burkina Faso	27.433556771545653	2.94
Burundi	12.898536251709963	0.03
Cambodia	51.201326949384494	82.34
Cameroon	36.434227086183405	2.43
Canada	63.927961696306475	77.15
Cape Verde	55.17544459644282	43.54
Central African Repu	28.659958960328364	6.14
Chad	41.08934336525307	0.47
Chile	66.24612859097098	84.89
China	69.60867305061589	84.68
Colombia	61.89295485636167	54.98
Congo	48.0944459644324	2.33
Costa Rica	54.87563611491095	68.01
Cote d'Ivoire	29.030478796169664	7.87
Croatia	42.61283173734605	48.12
Cuba	63.14678522571835	85.93
Cyprus	58.56164158686769	67.84
Czechia	49.56746922024609	63.37
Democratic Republic 	41.50478796169614	0.12
Denmark	47.55786593707258	78.28
Dominica	41.32820793433673	38.14
Dominican Republic	61.97101231190132	51.27
Ecuador	60.82023255813949	71.3
Egypt	51.275485636114645	18.88
El Salvador	47.03709986320096	65.83
Estonia	37.889411764705976	61.63
Eswatini	58.41675786593687	25.27
Faeroe Islands	34.51337893296831	76.63
Fiji	60.306593707249995	65.5
Finland	40.92794801641587	73.8
France	59.406716826265544	73.59
Gabon	61.10819425444579	7.39
Gambia	43.063720930232364	9.45
Georgia	56.8810807113545	30.57
Germany	59.39659370725042	70.88
Ghana	42.06528043775662	7.11
Greece	64.10906976744165	67.41
Greenland	37.53350205198372	67.66
Guatemala	58.37207934336513	26.62
Guinea	54.42228454172372	6.84
Guyana	62.66867305061528	36.56
Haiti	46.45280437756511	0.64
Honduras	73.96331053351534	41.8
Hong Kong	59.89950752393954	62.2
Hungary	48.21759233926107	61.6
Iceland	37.82573187414515	76.67
India	67.52813953488383	42.86
Indonesia	60.44432284541719	41.52
Iran	60.85403556771562	58.23
Iraq	67.6667989056084	12.95
Ireland	58.231108071135324	77.7
Israel	56.53019151846824	63.92
Italy	68.5782216142276	75.55
Jamaica	67.76205198358406	20.05
Japan	40.639616963064555	80.02
Jordan	54.36240766073872	35.29
Kazakhstan	64.65989056087555	44.36
Kenya	56.68581395348809	7.84
Kosovo	52.948686730505614	43.92
Kuwait	65.23744186046491	75.69
Kyrgyzstan	52.532968536251666	15.18
Latvia	46.77478796169614	67.37
Lebanon	62.53606019151843	32.75
Lesotho	46.6529685362516	31.89
Liberia	48.714842681258716	14.54
Libya	66.41042407660713	12.26
Liechtenstein	44.33822161422702	65.58
Lithuania	45.135430916552565	65.75
Macao	29.374692202462168	67.23
Madagascar	46.40281805745562	1.87
Malawi	42.72723666210668	3.55
Malaysia	62.16649794801629	76.39
Mali	41.798891928864606	1.79
Malta	48.39421340629248	82.75
Mauritania	39.16335157318746	16.62
Mauritius	41.601901504788096	70.05
Mexico	53.26266757865898	57.44
Moldova	52.90047879616963	32.08
Monaco	50.54619699042397	69.96
Mongolia	55.356648426812654	64.63
Morocco	65.57898768809808	62.02
Mozambique	51.46259917920682	18.97
Myanmar	66.71004103967141	24.22
Nepal	61.614172366620764	32.42
Netherlands	54.13928864569076	68.21
New Zealand	39.97770177838582	75.17
Nicaragua	9.59906976744182	42.42
Nigeria	51.29688098495249	2.1
Norway	45.60452804377562	72.71
Oman	60.983857729138165	64.2
Pakistan	56.31968536251699	30.5
Palestine	66.83357045143659	29.53
Panama	64.942216142271	64.44
Papua New Guinea	48.36675786593702	2.21
Paraguay	55.31632010943924	43.98
Peru	69.61682626538992	65.45
Philippines	66.86183310533545	43.58
Poland	50.804911080711186	54.94
Portugal	57.38584131326926	83.19
Romania	52.94742818057443	40.44
Russia	47.725417236661954	46.02
Rwanda	59.66196990424013	40.37
San Marino	47.130533515731905	64.08
Saudi Arabia	58.62131326949418	64.48
Serbia	46.79548563611489	46.68
Seychelles	50.37586867305042	73.51
Singapore	49.424281805745956	83.09
Slovakia	49.349917920656715	48.51
Slovenia	53.86749658002741	56.1
Solomon Islands	19.314993160054694	7.9
Somalia	33.57061559507494	4.75
South Africa	53.50890560875557	26.66
South Korea	51.00796169630668	82.28
South Sudan	47.80596443228452	1.69
Spain	55.889781121750985	79.75
Sri Lanka	59.68113543091612	63.58
Sudan	37.98142270861825	2.7
Suriname	66.1168262653898	37.24
Sweden	48.4969357045146	70.11
Switzerland	47.075225718194005	67.09
Syria	43.41864569083428	3.67
Taiwan	32.278344733241916	67.73
Tajikistan	32.32889192886459	29.7
Tanzania	17.48430916552666	2.59
Thailand	50.76700410396684	64.69
Timor	44.53749658002742	40.35
Togo	45.0802872777018	11.81
Tonga	15.945362517099888	53.41
Trinidad and Tobago	65.79886456908373	43.83
Tunisia	54.10435020519856	48.29
Turkey	57.42370725034257	60.87
Uganda	61.16274965800329	3.07
Ukraine	55.21491108071167	31.6
United Arab Emirates	51.92772913816673	96.74
United Kingdom	57.668262653899134	70.5
United States	57.65607387140852	63.08
Uruguay	49.067920656634946	78.19
Uzbekistan	46.91638850889211	32.58
Vanuatu	12.75567715458283	15.79
Venezuela	72.22455540355628	41.16
Vietnam	63.27030095759206	70.21
Zambia	39.56803009575937	6.25
Zimbabwe	60.754035567715285	19.6
