flu_season	date	date_short	deaths	people_vaccinated_per_hundred
2020/21	2020-10-01	10-01	8893.0	
2020/21	2020-10-02	10-02	5685.0	
2020/21	2020-10-03	10-03	4781.0	
2020/21	2020-10-04	10-04	4025.0	
2020/21	2020-10-05	10-05	4303.0	
2020/21	2020-10-06	10-06	5859.0	
2020/21	2020-10-07	10-07	5929.0	
2020/21	2020-10-08	10-08	6385.0	
2020/21	2020-10-09	10-09	6192.0	
2020/21	2020-10-10	10-10	4906.0	
2020/21	2020-10-11	10-11	4195.0	
2020/21	2020-10-12	10-12	4131.0	
2020/21	2020-10-13	10-13	5335.0	
2020/21	2020-10-14	10-14	6166.0	
2020/21	2020-10-15	10-15	6208.0	
2020/21	2020-10-16	10-16	6220.0	
2020/21	2020-10-17	10-17	5728.0	
2020/21	2020-10-18	10-18	3981.0	
2020/21	2020-10-19	10-19	4843.0	
2020/21	2020-10-20	10-20	6627.0	
2020/21	2020-10-21	10-21	6907.0	
2020/21	2020-10-22	10-22	5958.0	
2020/21	2020-10-23	10-23	7108.0	
2020/21	2020-10-24	10-24	5918.0	
2020/21	2020-10-25	10-25	4385.0	
2020/21	2020-10-26	10-26	5835.0	
2020/21	2020-10-27	10-27	7411.0	
2020/21	2020-10-28	10-28	7182.0	
2020/21	2020-10-29	10-29	7241.0	
2020/21	2020-10-30	10-30	7775.0	
2020/21	2020-10-31	10-31	6647.0	
2020/21	2020-11-01	11-01	5355.0	
2020/21	2020-11-02	11-02	6325.0	
2020/21	2020-11-03	11-03	9575.0	
2020/21	2020-11-04	11-04	9964.0	
2020/21	2020-11-05	11-05	8718.0	
2020/21	2020-11-06	11-06	9194.0	
2020/21	2020-11-07	11-07	7785.0	
2020/21	2020-11-08	11-08	6400.0	
2020/21	2020-11-09	11-09	7577.0	
2020/21	2020-11-10	11-10	9750.0	
2020/21	2020-11-11	11-11	10417.0	
2020/21	2020-11-12	11-12	9719.0	
2020/21	2020-11-13	11-13	9931.0	
2020/21	2020-11-14	11-14	9136.0	
2020/21	2020-11-15	11-15	6956.0	
2020/21	2020-11-16	11-16	8057.0	
2020/21	2020-11-17	11-17	10972.0	
2020/21	2020-11-18	11-18	11469.0	
2020/21	2020-11-19	11-19	11143.0	
2020/21	2020-11-20	11-20	11749.0	
2020/21	2020-11-21	11-21	9303.0	
2020/21	2020-11-22	11-22	7667.0	
2020/21	2020-11-23	11-23	8728.0	
2020/21	2020-11-24	11-24	12519.0	
2020/21	2020-11-25	11-25	12026.0	
2020/21	2020-11-26	11-26	10932.0	
2020/21	2020-11-27	11-27	11519.0	
2020/21	2020-11-28	11-28	9511.0	
2020/21	2020-11-29	11-29	7656.0	
2020/21	2020-11-30	11-30	9045.0	
2020/21	2020-12-01	12-01	12444.0	
2020/21	2020-12-02	12-02	12393.0	0.0
2020/21	2020-12-03	12-03	12711.0	0.0
2020/21	2020-12-04	12-04	12470.0	0.0
2020/21	2020-12-05	12-05	10609.0	0.0
2020/21	2020-12-06	12-06	8090.0	0.0
2020/21	2020-12-07	12-07	8843.0	0.0
2020/21	2020-12-08	12-08	12040.0	0.0
2020/21	2020-12-09	12-09	12561.0	0.0
2020/21	2020-12-10	12-10	12419.0	0.0
2020/21	2020-12-11	12-11	13184.0	0.0
2020/21	2020-12-12	12-12	10830.0	0.0
2020/21	2020-12-13	12-13	8256.0	0.0
2020/21	2020-12-14	12-14	9192.0	0.0
2020/21	2020-12-15	12-15	13230.0	0.0
2020/21	2020-12-16	12-16	13926.0	0.0
2020/21	2020-12-17	12-17	13171.0	0.01
2020/21	2020-12-18	12-18	13039.0	0.01
2020/21	2020-12-19	12-19	11257.0	0.01
2020/21	2020-12-20	12-20	8369.0	0.02
2020/21	2020-12-21	12-21	9484.0	0.02
2020/21	2020-12-22	12-22	13877.0	0.03
2020/21	2020-12-23	12-23	13750.0	0.04
2020/21	2020-12-24	12-24	12206.0	0.04
2020/21	2020-12-25	12-25	9030.0	0.04
2020/21	2020-12-26	12-26	7940.0	0.04
2020/21	2020-12-27	12-27	8116.0	0.05
2020/21	2020-12-28	12-28	9554.0	0.06
2020/21	2020-12-29	12-29	14975.0	0.07
2020/21	2020-12-30	12-30	15418.0	0.08
2020/21	2020-12-31	12-31	13493.0	0.09
2020/21	2021-01-01	1-01	10154.0	0.09
2020/21	2021-01-02	1-02	8834.0	0.11
2020/21	2021-01-03	1-03	7960.0	0.11
2020/21	2021-01-04	1-04	9946.0	0.13
2020/21	2021-01-05	1-05	15414.0	0.14
2020/21	2021-01-06	1-06	14920.0	0.16
2020/21	2021-01-07	1-07	14960.0	0.18
2020/21	2021-01-08	1-08	15214.0	0.2
